CNT,pct_multi_2018,oecd,name,pct_multi_2022
ALB,15.513919809378516,False,Albania,25.51647939572808
ARE,27.896029571297753,False,UAE,32.482923606776666
ARG,26.157936001581263,False,Argentina,29.958456058162326
AUS,22.3852058841198,True,Australia,40.663304006832526
AUT,10.297051358841344,True,Austria,20.7547662802191
BEL,8.096316352589609,True,Belgium,20.413097942720096
BGR,27.15587310506933,False,Bulgaria,27.279568552583385
BRA,25.215455953688743,False,Brazil,30.2542713754735
BRN,28.8042205636442,False,Brunei,41.6736352018575
CAN,20.873229473471547,True,Canada,31.37653386522511
CHE,8.787059728258168,True,CHE,20.366499963592318
CHL,14.372085198869106,True,Chile,25.484899932351567
COL,26.124222592163846,True,Colombia,28.035795841810163
CRI,23.24825706599401,True,Costa Rica,27.414082053781602
CZE,12.123816966465816,True,Czech Rep.,24.84307591540131
DEU,5.159780865177564,True,Germany,19.497085125386565
DNK,10.716399091218332,True,Denmark,30.048695300205004
DOM,14.867188229846777,False,Dom. Rep.,42.89287375991813
ESP,10.071225842874748,True,Spain,25.884010206182097
EST,15.95323676130118,True,Estonia,33.90250480096845
FIN,12.55696205142055,True,Finland,24.14344621564644
FRA,10.650165760852458,True,France,28.979797276843378
GBR,20.513388176565027,True,UK,31.391564305501973
GEO,17.70320159671219,False,Georgia,21.282877938500036
GRC,18.143289399907935,True,Greece,34.359817750773516
HKG,17.680937113664925,False,Hong Kong,16.44186625307618
HRV,13.23784950475263,False,Croatia,17.910044407165003
HUN,11.554126353087677,True,Hungary,16.731325738969645
IDN,33.44613041519933,False,Indonesia,24.717636156015942
IRL,19.07221977035067,False,Ireland,32.7626358802814
ISL,9.687530451231464,True,Iceland,22.588970626722112
ISR,0.864431550796808,True,Israel,0.0
ITA,18.39178283604644,True,Italy,31.25219749566935
JOR,41.41280119646638,False,Jordan,31.171644448902054
JPN,6.377626443468512,True,Japan,8.273733802329039
KAZ,22.299204712778355,False,Kazakhstan,24.65669069530625
KOR,1.7931853791888133,True,Korea,4.08817409264102
KSV,24.47306840347228,False,Kosovo,33.37305916200632
LTU,19.646870898996912,True,Lithuania,27.79466211484985
LVA,25.650830267416225,True,Latvia,40.710031893959055
MAC,21.97878116856105,False,Macao,24.828988470911245
MAR,23.339505001760948,False,Morocco,44.753441541655484
MDA,21.693432009856185,False,Moldova,38.626808083005564
MEX,13.319679446526578,True,Mexico,26.409547707030455
MKD,0.0,False,N. Macedonia,23.50278160359052
MLT,29.123123327251943,False,Malta,38.80276609923881
MNE,22.299915732046617,False,Montenegro,28.407677010265648
MYS,29.05770239196061,False,Malaysia,28.664238427970766
NLD,5.397762379253285,True,Netherlands,15.84561271978929
NOR,11.18869339816924,True,Norway,24.19479046063876
NZL,25.07408977177372,True,New Zealand,43.4567794384409
PAN,11.9629492848937,False,Panama,31.618969986840682
PER,9.649502202325737,False,Peru,28.284135741684203
PHL,49.03956760184231,False,Philippines,57.33219385557177
POL,18.485523496224687,True,Poland,34.22214335367555
PRT,11.618400567107656,True,Portugal,16.441011347562522
QAT,31.364211401122844,False,Qatar,38.39270226371087
QAZ,18.38961164982076,False,Baku (AZE),29.414415506418003
ROU,27.388626702653912,False,Romania,44.366149725848366
SAU,36.13322130255204,False,Saudi Arabia,29.907115158146574
SGP,20.413494032693535,False,Singapore,26.001824533605305
SRB,14.60430620774498,False,Serbia,19.64125493576013
SVK,19.275824206610583,True,Slovakia,22.159355722775985
SVN,13.179007363743713,True,Slovenia,20.68769554148796
SWE,11.31473692147488,True,Sweden,25.603416890843977
TAP,9.065726153137453,False,Chinese Taipei,8.468105983566304
THA,38.456111951666365,False,Thailand,27.28067089728666
TUR,26.72038932679119,True,Turkey,44.96562148368921
URY,16.053907089031817,False,Uruguay,36.56066332974887
USA,23.454302455713226,True,USA,30.88935613941537
VNM,16.917054878623915,False,Vietnam,19.170991306691064
