CNT,n_low_ses,n_odds_breaking,pct_odds_breaking,r_escs_perf,slope
MAC,15,6,40.0,0.4598978830658602,38.04019511288799
ALB,109,40,36.69724770642202,0.4043068954874496,24.607903161617994
QRT,79,28,35.44303797468354,0.4373840729094335,50.574463199828664
NOR,83,29,34.93975903614458,0.5115048279717787,60.965698399781836
ISL,47,16,34.04255319148936,0.32306543965406875,32.1363305410321
QAZ,66,21,31.818181818181817,0.606446006703492,45.020985889141905
KAZ,205,65,31.70731707317073,0.4971839630658972,50.29794344874644
QMR,20,6,30.0,0.35599516907976764,40.90000224067285
GEO,107,32,29.906542056074763,0.49690773065066995,44.65197252118288
EST,77,23,29.87012987012987,0.5566243077589691,57.17470234293849
JOR,104,30,28.846153846153843,0.47294309500181525,28.195265197429922
THA,97,27,27.835051546391753,0.7466917537029298,53.19241660189036
LVA,103,27,26.21359223300971,0.592729647855538,53.203852968711544
KSV,70,18,25.71428571428571,0.5469507366866324,44.59598915356629
MNE,20,5,25.0,0.6473734012320693,69.24793484629159
MAR,60,15,25.0,0.6630580254692933,34.74568612646273
CAN,270,63,23.333333333333332,0.5739909489176295,56.50522457703697
LBN,104,24,23.076923076923077,0.5638292554698228,52.234375092680146
TUR,62,14,22.58064516129032,0.693428887907506,61.28205962785098
BIH,71,16,22.535211267605636,0.6082949110918954,60.44128719847977
IDN,132,29,21.96969696969697,0.6915708046312338,52.21261857060192
DOM,78,17,21.794871794871796,0.6970107237000738,51.461140382043254
PAN,84,18,21.428571428571427,0.7583063591048198,46.807942833616266
FIN,71,15,21.12676056338028,0.6605668537781355,72.31700684261071
RUS,87,18,20.689655172413794,0.5721770752244315,66.05064417341748
SAU,78,15,19.230769230769234,0.6641841801357056,43.08664771351116
MYS,64,12,18.75,0.7864508992591532,56.52572812710924
MKD,38,7,18.421052631578945,0.6450892692314587,62.02549349686796
BRA,199,36,18.090452261306535,0.7142996308068186,53.70216726097952
ESP,363,65,17.90633608815427,0.6768957779960217,45.62839133022728
MEX,95,17,17.894736842105264,0.7057780690853614,37.724479560290966
MLT,17,3,17.647058823529413,0.7177439702027317,79.02022187982908
SWE,74,13,17.56756756756757,0.7040744534283185,84.9730060182702
QCI,120,21,17.5,0.6700351620134788,53.5545039112581
KOR,63,11,17.46031746031746,0.6654626804680167,91.69268752385487
LTU,121,21,17.355371900826448,0.6856975647320496,78.75076658178676
MDA,79,13,16.455696202531644,0.7646087288313197,68.61091018853445
ARE,251,41,16.334661354581673,0.6979080997103719,89.80162435349172
PRT,92,15,16.304347826086957,0.7156026247446486,67.45751762248133
POL,80,13,16.25,0.7275516733119761,79.3292599181809
GBR,156,24,15.384615384615385,0.7332645403239205,75.84921890788355
COL,82,12,14.634146341463413,0.7737674705407085,45.20103597884633
PHL,62,9,14.516129032258066,0.8470240344105284,57.43097156872467
SVK,125,18,14.399999999999999,0.7360810105268223,77.14845448013577
AUS,244,35,14.344262295081966,0.6891452795590169,67.94053119153692
CRI,68,9,13.23529411764706,0.8190553579814513,41.96008120485338
CHE,76,10,13.157894736842104,0.741916555686817,89.32614019890228
SVN,115,15,13.043478260869565,0.7672207379081246,102.34537948364972
SRB,62,8,12.903225806451612,0.6383830018194274,87.55158846951242
SGP,55,7,12.727272727272727,0.7646312658713732,89.04094932611778
ITA,180,22,12.222222222222221,0.6981815625937972,91.81258292227012
DNK,116,14,12.068965517241379,0.6705754942731554,69.16948801720612
UKR,83,10,12.048192771084338,0.7566356134579086,89.97047299771884
HKG,51,6,11.76470588235294,0.6239039887542737,56.45215350542999
HRV,61,7,11.475409836065573,0.7862519198597895,116.99903526579655
GRC,81,8,9.876543209876543,0.7512380034597947,72.80103138873372
QAT,62,6,9.67741935483871,0.6467556707219568,79.62181970666798
IRL,52,5,9.615384615384617,0.8219468986827589,72.1692085591538
TAP,64,6,9.375,0.8150775375001862,103.8408010454619
BGR,66,6,9.090909090909092,0.7509560410749289,75.88548122501521
JPN,61,5,8.19672131147541,0.7803536275194225,124.83556549406727
BEL,96,7,7.291666666666667,0.8789450385895526,120.58546935623977
USA,55,4,7.2727272727272725,0.6957796529916467,65.34409905352426
AUT,97,7,7.216494845360824,0.7526720824395425,99.58673959621
PER,113,8,7.079646017699115,0.7910280559287424,48.80804351990375
ISR,58,4,6.896551724137931,0.749493075301794,108.81619997155195
BLR,78,5,6.41025641025641,0.8229603769901249,89.56606460940698
NZL,64,4,6.25,0.8151414681902337,76.70122619441466
CHL,85,5,5.88235294117647,0.8603199419358227,62.27196042046345
CZE,111,6,5.405405405405405,0.8468149759128076,111.77792563390099
ROU,57,3,5.263157894736842,0.8145097376236038,82.82554773934726
ARG,152,8,5.263157894736842,0.8393639819227072,59.84235309217568
URY,63,3,4.761904761904762,0.7838345936611167,58.91581878894105
DEU,73,3,4.10958904109589,0.8298094774882405,103.26975013844769
HUN,79,3,3.79746835443038,0.8244356068308948,87.35689263791525
FRA,84,3,3.571428571428571,0.8314581888435234,105.97805495051557
NLD,52,0,0.0,0.8046452016452379,142.1598893864659
BRN,18,0,0.0,0.8400887331619366,106.78913299536879
LUX,15,0,0.0,0.9254187363391035,85.75154610495024
